#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6375148;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375160;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375174;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;21 ;"!";1;1;COM3;;
6375186;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;98 ;"ò";1;1;COM3;;
6375210;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375222;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375234;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375246;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375258;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;24 ;"$";1;1;COM3;;
6375270;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;95 ;"ï";1;1;COM3;;
6375294;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375303;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375314;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375326;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375338;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;25 ;"%";1;1;COM3;;
6375350;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;94 ;"î";1;1;COM3;;
6375372;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375383;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
