#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6685248;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685260;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685272;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685284;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;23 ;"#";1;1;COM3;;
6685295;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;42 ;"B";1;1;COM3;;
6685332;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685344;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685356;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685368;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;24 ;"$";1;1;COM3;;
6685380;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;41 ;"A";1;1;COM3;;
6685416;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685428;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685437;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685445;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;25 ;"%";1;1;COM3;;
6685453;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;40 ;"@";1;1;COM3;;
6685488;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685500;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685512;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685524;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;26 ;"&";1;1;COM3;;
6685533;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
6685572;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685584;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685593;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685608;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;27 ;"'";1;1;COM3;;
6685620;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6685656;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685668;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685680;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685692;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;28 ;"(";1;1;COM3;;
6685704;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3d ;"=";1;1;COM3;;
6685740;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685752;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685763;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685775;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;29 ;")";1;1;COM3;;
6685788;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3c ;"<";1;1;COM3;;
6685838;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685850;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685862;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685874;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2a ;"*";1;1;COM3;;
6685886;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3b ;";";1;1;COM3;;
6685936;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685948;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
