#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6687603;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6687616;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;27 ;"'";1;1;COM3;;
6687645;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3e 8f ;".2.>è";5;;COM3;;
6687652;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687663;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687676;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687688;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
6687700;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;26 ;"&";1;1;COM3;;
6687729;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3f 8e ;".2.?é";5;;COM3;;
6687736;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687748;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687760;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687772;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;40 ;"@";1;1;COM3;;
6687784;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;25 ;"%";1;1;COM3;;
6687813;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 40 8d ;".2.@ç";5;;COM3;;
6687820;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687832;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687844;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687856;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;41 ;"A";1;1;COM3;;
6687868;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;24 ;"$";1;1;COM3;;
6687897;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 ;".2";2;;COM3;;
6687911;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;00 41 8c ;".Aå";3;;COM3;;
6687918;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687930;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687942;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
